127.0.0.1, 2014-06-30 23:07:39, GET, /, HTTP/1.1, 303, 0.042159
127.0.0.1, 2014-06-30 23:07:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.372150
127.0.0.1, 2014-06-30 23:07:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000575
127.0.0.1, 2014-06-30 23:07:44, GET, /admin/default/index, HTTP/1.1, 200, 0.178180
127.0.0.1, 2014-06-30 23:07:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000353
127.0.0.1, 2014-06-30 23:07:47, POST, /admin/default/index, HTTP/1.1, 303, 0.152137
127.0.0.1, 2014-06-30 23:07:47, GET, /admin/default/site, HTTP/1.1, 200, 0.087700
127.0.0.1, 2014-06-30 23:07:47, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 304, 0.000723
127.0.0.1, 2014-06-30 23:07:47, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 304, 0.001728
127.0.0.1, 2014-06-30 23:07:47, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000459
127.0.0.1, 2014-06-30 23:07:48, POST, /admin/default/check_version, HTTP/1.1, 200, 0.851131
127.0.0.1, 2014-06-30 23:07:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2014-06-30 23:07:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2014-06-30 23:07:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
127.0.0.1, 2014-06-30 23:10:27, POST, /admin/default/site, HTTP/1.1, 303, 0.189922
127.0.0.1, 2014-06-30 23:10:27, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.298081
127.0.0.1, 2014-06-30 23:10:27, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000595
127.0.0.1, 2014-06-30 23:10:27, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000594
127.0.0.1, 2014-06-30 23:10:27, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000593
127.0.0.1, 2014-06-30 23:10:27, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000542
127.0.0.1, 2014-06-30 23:10:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2014-06-30 23:10:53, POST, /admin/default/create_file, HTTP/1.1, 303, 0.077972
127.0.0.1, 2014-06-30 23:10:53, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.153982
127.0.0.1, 2014-06-30 23:10:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/default/edit/basic_rest/models/db.py, HTTP/1.1, 200, 0.091120
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000511
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000550
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000470
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000503
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000729
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000674
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001004
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000595
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000567
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001303
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000433
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000629
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000557
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000853
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000460
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000445
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000541
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000512
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002978
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000531
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000547
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000743
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000514
